epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.964,1.94815,2.72871,1.69294,0.61736,0.72,0.67683,0.43691,1.17679,1.59336,1.15748,0.00024,0.00024,0.00024
2,22.3807,1.20909,1.36602,1.14807,0.18919,0.315,0.14596,0.0749,1.33332,16.4634,1.76986,0.00049505,0.00049505,0.00049505
3,36.0297,1.21341,1.18648,1.17408,0.06866,0.59,0.05602,0.02638,1.67561,37.392,2.64892,0.000744952,0.000744952,0.000744952
4,56.9406,1.32637,1.27911,1.21661,0.00792,0.105,0.00316,0.00095,4.0483,207.418,13.5807,0.000989706,0.000989706,0.000989706
5,78.1406,1.27816,1.20438,1.21612,0.00052,0.025,0.00021,6e-05,4.32493,inf,42.3539,0.00122931,0.00122931,0.00122931
6,98.9205,1.3545,1.32213,1.23042,0.01054,0.1,0.00435,0.00129,3.40658,inf,68.7387,0.00146377,0.00146377,0.00146377
7,110.159,1.34381,1.26507,1.21455,0.00203,0.11,0.00106,0.00055,nan,nan,nan,0.00169308,0.00169308,0.00169308
8,134.16,1.31313,1.14733,1.20842,0.00651,0.18,0.00444,0.00144,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,145.358,1.32738,1.14106,1.20874,0.0113,0.19,0.00691,0.00254,3.45073,90.6755,7.6271,0.0018416,0.0018416,0.0018416
10,167.524,1.2634,1.09964,1.18006,0.25433,0.295,0.13154,0.06226,2.46915,3.9096,3.11847,0.0018218,0.0018218,0.0018218
11,189.053,1.23871,1.10047,1.17317,0.64506,0.35,0.33779,0.18798,nan,nan,nan,0.001802,0.001802,0.001802
12,216.368,1.24454,1.0355,1.17507,0.5678,0.54521,0.50491,0.27802,1.57938,2.64979,1.59716,0.0017822,0.0017822,0.0017822
13,236.791,1.14708,1.02442,1.12699,0.5315,0.63,0.54452,0.34177,1.39472,3.80474,1.42899,0.0017624,0.0017624,0.0017624
14,259.099,1.1781,0.9795,1.12537,0.50267,0.645,0.47994,0.27517,1.41681,3.16154,1.51817,0.0017426,0.0017426,0.0017426
15,281.624,1.15765,0.98118,1.15152,0.57869,0.64,0.58085,0.3165,1.55342,2.5198,1.56515,0.0017228,0.0017228,0.0017228
16,302.848,1.23279,0.99917,1.15221,0.79957,0.76,0.81151,0.51537,1.19289,1.94575,1.29429,0.001703,0.001703,0.001703
17,324.057,1.15738,0.97223,1.12477,0.69559,0.78835,0.72118,0.46371,1.25567,1.7943,1.32783,0.0016832,0.0016832,0.0016832
18,345.982,1.14288,0.93749,1.108,0.60623,0.77,0.64088,0.40351,1.26341,1.90234,1.24155,0.0016634,0.0016634,0.0016634
19,360.264,1.12169,0.9152,1.10402,0.64281,0.81883,0.67369,0.44947,1.1218,1.59567,1.18072,0.0016436,0.0016436,0.0016436
20,376.411,1.12876,0.92517,1.09965,0.80952,0.79,0.80706,0.54337,1.09162,1.1689,1.13453,0.0016238,0.0016238,0.0016238
21,398.235,1.05032,0.86945,1.06836,0.70105,0.82,0.70235,0.48168,1.09272,1.24842,1.10909,0.001604,0.001604,0.001604
22,422.24,1.0855,0.87199,1.09011,0.78424,0.79,0.82113,0.57565,1.07161,1.09659,1.12953,0.0015842,0.0015842,0.0015842
23,446.286,1.14788,0.9452,1.11326,0.71124,0.805,0.76869,0.51049,1.18126,1.11229,1.18149,0.0015644,0.0015644,0.0015644
24,463.935,1.06604,0.85587,1.07126,0.74556,0.79,0.80238,0.53621,1.16532,1.3207,1.15231,0.0015446,0.0015446,0.0015446
25,477.464,1.05491,0.89975,1.0925,0.67561,0.74976,0.67712,0.43427,1.24243,1.40512,1.26005,0.0015248,0.0015248,0.0015248
26,501.178,1.0552,0.8747,1.08499,0.80907,0.77,0.84242,0.58766,1.07012,1.21749,1.11782,0.001505,0.001505,0.001505
27,525.824,1.00702,0.82282,1.05009,0.82407,0.7729,0.84163,0.56335,1.08896,1.26734,1.11234,0.0014852,0.0014852,0.0014852
28,541.538,1.06862,0.82746,1.08032,0.8359,0.86599,0.86792,0.6191,0.99368,1.02803,1.06954,0.0014654,0.0014654,0.0014654
29,563.992,1.0602,0.80663,1.07891,0.84282,0.83,0.87366,0.61323,1.0251,1.07246,1.04865,0.0014456,0.0014456,0.0014456
30,588.408,1.04866,0.81,1.06964,0.83936,0.855,0.87832,0.60604,1.04228,0.88281,1.06594,0.0014258,0.0014258,0.0014258
31,607.054,1.00502,0.78968,1.0721,0.81224,0.87,0.86766,0.6311,0.97981,0.97275,1.05123,0.001406,0.001406,0.001406
32,631.96,0.96289,0.77988,1.02925,0.82082,0.80165,0.83889,0.60447,1.04962,0.91811,1.08189,0.0013862,0.0013862,0.0013862
33,652.503,1.00829,0.79304,1.0397,0.79314,0.83,0.84131,0.59421,0.99384,0.98659,1.05138,0.0013664,0.0013664,0.0013664
34,681.445,1.01811,0.8062,1.0365,0.77547,0.86347,0.8136,0.56057,1.00453,1.05791,1.04725,0.0013466,0.0013466,0.0013466
35,707.653,0.95706,0.73667,1.03011,0.84169,0.88,0.86222,0.62287,1.0088,0.88601,1.05422,0.0013268,0.0013268,0.0013268
36,727.87,0.92778,0.70392,1.01685,0.85145,0.88843,0.85476,0.61387,0.97011,0.87093,1.0525,0.001307,0.001307,0.001307
37,750.565,0.95276,0.71853,1.02311,0.84283,0.885,0.86778,0.63312,0.94309,0.79295,1.0341,0.0012872,0.0012872,0.0012872
38,765.928,0.96688,0.75421,1.05495,0.88143,0.785,0.87569,0.62425,0.99488,0.75853,1.0145,0.0012674,0.0012674,0.0012674
39,781.327,0.95355,0.73908,1.02723,0.82696,0.84,0.86856,0.57908,1.14061,0.86954,1.09748,0.0012476,0.0012476,0.0012476
40,794.962,0.94172,0.73769,1.03227,0.84832,0.79,0.86135,0.61489,1.01021,0.84312,1.04847,0.0012278,0.0012278,0.0012278
41,822.141,0.95193,0.70541,1.02718,0.8155,0.81769,0.86887,0.61797,1.01829,0.87541,1.03728,0.001208,0.001208,0.001208
42,844.828,0.95131,0.70094,1.04252,0.84831,0.825,0.86952,0.62944,1.0153,0.89939,1.06028,0.0011882,0.0011882,0.0011882
43,866.924,0.97093,0.72377,1.01389,0.80769,0.865,0.86366,0.64067,0.98281,0.80722,1.04785,0.0011684,0.0011684,0.0011684
44,881.311,0.89362,0.66741,1.01531,0.87424,0.86,0.90458,0.65867,0.95046,0.76061,1.03511,0.0011486,0.0011486,0.0011486
45,904.095,0.87493,0.65775,0.98591,0.84573,0.90458,0.89876,0.6564,0.93012,0.7711,1.0384,0.0011288,0.0011288,0.0011288
46,928.655,0.89466,0.6481,0.99856,0.8572,0.90044,0.87974,0.63677,0.94909,0.76994,1.04201,0.001109,0.001109,0.001109
47,944.581,0.9276,0.68702,1.01645,0.82455,0.895,0.85833,0.64789,0.91443,0.77205,1.01615,0.0010892,0.0010892,0.0010892
48,970.128,0.91764,0.66671,1.01885,0.86346,0.8537,0.8725,0.65533,0.88748,0.75642,1.01342,0.0010694,0.0010694,0.0010694
49,992.085,0.87622,0.64655,1.00802,0.87332,0.84,0.8869,0.64817,0.94671,0.73362,1.00602,0.0010496,0.0010496,0.0010496
50,1018.99,0.86626,0.60601,0.98201,0.85713,0.86,0.89348,0.66768,0.89829,0.72499,1.00239,0.0010298,0.0010298,0.0010298
51,1036.12,0.87164,0.64573,0.9998,0.86284,0.875,0.86726,0.63887,0.96497,0.78808,1.0351,0.00101,0.00101,0.00101
52,1060.37,0.86642,0.65142,1.00124,0.87661,0.86,0.90815,0.68144,0.90596,0.71538,1.00813,0.0009902,0.0009902,0.0009902
53,1086.11,0.86319,0.64934,0.99728,0.85128,0.89,0.90888,0.66102,0.96861,0.76521,1.04362,0.0009704,0.0009704,0.0009704
54,1100.98,0.8435,0.62294,0.98837,0.87205,0.87,0.91135,0.6854,0.91144,0.73571,1.00774,0.0009506,0.0009506,0.0009506
55,1118.17,0.81968,0.62224,0.97633,0.8484,0.89542,0.90364,0.66411,0.88563,0.72258,0.9891,0.0009308,0.0009308,0.0009308
56,1145.05,0.85189,0.64164,0.9811,0.87584,0.88174,0.90097,0.6769,0.88459,0.66013,0.99362,0.000911,0.000911,0.000911
57,1166.4,0.84093,0.60768,0.97989,0.9202,0.86481,0.91093,0.69628,0.85981,0.68005,0.99078,0.0008912,0.0008912,0.0008912
58,1192.2,0.81503,0.62074,0.97895,0.90443,0.83,0.89319,0.67075,0.9059,0.77608,1.02162,0.0008714,0.0008714,0.0008714
59,1209.53,0.82397,0.61572,0.97273,0.83198,0.9,0.88358,0.66888,0.88301,0.71897,0.9938,0.0008516,0.0008516,0.0008516
60,1233.14,0.83967,0.61409,0.97126,0.82124,0.925,0.89785,0.67889,0.85511,0.71306,0.98962,0.0008318,0.0008318,0.0008318
61,1258.43,0.78562,0.56634,0.94698,0.83522,0.88701,0.89343,0.65364,0.96546,0.73094,1.06742,0.000812,0.000812,0.000812
62,1283.15,0.80747,0.57125,0.97087,0.89517,0.9,0.91254,0.69119,0.87326,0.65801,0.98762,0.0007922,0.0007922,0.0007922
63,1301.01,0.79625,0.58556,0.95995,0.88004,0.88,0.91039,0.66661,0.92558,0.68261,1.00071,0.0007724,0.0007724,0.0007724
64,1328.82,0.81779,0.601,0.98296,0.89875,0.84327,0.89617,0.68971,0.8749,0.66982,0.96681,0.0007526,0.0007526,0.0007526
65,1349.87,0.83359,0.58405,0.96641,0.86492,0.89639,0.92123,0.70381,0.84018,0.64848,0.96188,0.0007328,0.0007328,0.0007328
66,1372.14,0.78337,0.56509,0.96104,0.87414,0.90287,0.91808,0.70303,0.8469,0.62828,0.9865,0.000713,0.000713,0.000713
67,1398.72,0.75043,0.52265,0.9434,0.89886,0.88872,0.92113,0.7092,0.83586,0.64208,0.96861,0.0006932,0.0006932,0.0006932
68,1425.12,0.76783,0.52947,0.94456,0.90331,0.88749,0.93415,0.72222,0.82099,0.62856,0.95847,0.0006734,0.0006734,0.0006734
69,1449.08,0.75294,0.52012,0.94099,0.91846,0.90117,0.94493,0.72284,0.86738,0.58845,0.98414,0.0006536,0.0006536,0.0006536
70,1479.6,0.75851,0.53506,0.94548,0.89122,0.89,0.91738,0.71726,0.82654,0.61966,0.98402,0.0006338,0.0006338,0.0006338
71,1495.68,0.74602,0.5462,0.9538,0.86517,0.89835,0.89794,0.68798,0.86468,0.65428,1.01178,0.000614,0.000614,0.000614
72,1511.79,0.73839,0.50767,0.93527,0.8433,0.92,0.9155,0.70291,0.87648,0.69448,0.99818,0.0005942,0.0005942,0.0005942
73,1526.7,0.77705,0.54819,0.96763,0.8542,0.925,0.91111,0.7126,0.819,0.68423,0.98105,0.0005744,0.0005744,0.0005744
74,1552.09,0.74322,0.51378,0.92519,0.93219,0.82478,0.91588,0.69783,0.85457,0.68769,0.99447,0.0005546,0.0005546,0.0005546
75,1577.26,0.73708,0.52105,0.93583,0.87049,0.90737,0.91476,0.69903,0.8469,0.68239,0.99316,0.0005348,0.0005348,0.0005348
76,1602.2,0.72905,0.50771,0.95313,0.89678,0.87,0.91226,0.70379,0.83533,0.62569,0.9685,0.000515,0.000515,0.000515
77,1626.01,0.68468,0.49041,0.92054,0.88368,0.9116,0.91986,0.70891,0.83258,0.60937,0.9509,0.0004952,0.0004952,0.0004952
78,1639.22,0.69582,0.50745,0.92606,0.89885,0.9,0.93212,0.7204,0.82896,0.62409,0.95386,0.0004754,0.0004754,0.0004754
79,1656.34,0.68526,0.50472,0.92984,0.91518,0.885,0.93012,0.71774,0.83978,0.62997,0.96731,0.0004556,0.0004556,0.0004556
80,1673.05,0.71746,0.50125,0.93201,0.87594,0.88257,0.91467,0.71691,0.83924,0.66451,0.98291,0.0004358,0.0004358,0.0004358
81,1685.81,0.70641,0.49635,0.92927,0.88328,0.895,0.91854,0.71946,0.81864,0.63211,0.97548,0.000416,0.000416,0.000416
82,1709.74,0.71447,0.50294,0.93461,0.89541,0.89,0.9318,0.72283,0.81746,0.62004,0.96628,0.0003962,0.0003962,0.0003962
83,1722.88,0.70936,0.48983,0.93671,0.90242,0.9,0.93443,0.71053,0.84122,0.63113,0.96571,0.0003764,0.0003764,0.0003764
84,1738.35,0.68378,0.4853,0.93015,0.89927,0.905,0.92498,0.71497,0.82246,0.64371,0.96432,0.0003566,0.0003566,0.0003566
85,1750.81,0.66369,0.47536,0.90569,0.92744,0.875,0.92658,0.72855,0.82739,0.63587,0.97019,0.0003368,0.0003368,0.0003368
86,1777.47,0.68736,0.47805,0.93433,0.91558,0.895,0.93073,0.72776,0.80907,0.60534,0.95422,0.000317,0.000317,0.000317
87,1795.71,0.66329,0.46101,0.92208,0.91099,0.9,0.93687,0.73385,0.81454,0.58058,0.95572,0.0002972,0.0002972,0.0002972
88,1812.76,0.6925,0.47832,0.93345,0.94615,0.87846,0.94067,0.74275,0.79679,0.58221,0.95724,0.0002774,0.0002774,0.0002774
89,1835.61,0.70642,0.48904,0.93306,0.88848,0.92,0.93642,0.74084,0.78786,0.5756,0.95019,0.0002576,0.0002576,0.0002576
90,1862.43,0.64216,0.44433,0.91637,0.90431,0.89776,0.92916,0.72792,0.79779,0.55561,0.94603,0.0002378,0.0002378,0.0002378
91,1886.28,0.6177,0.46288,0.87928,0.91129,0.87315,0.9233,0.7166,0.80859,0.54881,0.94713,0.000218,0.000218,0.000218
92,1902.92,0.60493,0.43397,0.8788,0.92429,0.885,0.92329,0.71418,0.81186,0.60693,0.95414,0.0001982,0.0001982,0.0001982
93,1927.61,0.60849,0.44264,0.86482,0.91929,0.875,0.92785,0.71291,0.80758,0.62454,0.95211,0.0001784,0.0001784,0.0001784
94,1951.46,0.60842,0.42808,0.87793,0.89312,0.905,0.93653,0.73236,0.79649,0.58862,0.94271,0.0001586,0.0001586,0.0001586
95,1968.84,0.61202,0.44335,0.87429,0.89279,0.91,0.93335,0.73387,0.79848,0.57841,0.94303,0.0001388,0.0001388,0.0001388
96,1983.36,0.61704,0.43806,0.88081,0.88942,0.925,0.93243,0.74109,0.7858,0.57039,0.94356,0.000119,0.000119,0.000119
97,2004.94,0.60342,0.42863,0.87432,0.88058,0.935,0.93184,0.74314,0.778,0.54701,0.94099,9.92e-05,9.92e-05,9.92e-05
98,2020.12,0.58721,0.40984,0.87739,0.90207,0.92115,0.93821,0.74599,0.77309,0.54384,0.94006,7.94e-05,7.94e-05,7.94e-05
99,2044.24,0.57569,0.40306,0.86319,0.88837,0.91517,0.93118,0.74209,0.76606,0.53726,0.93581,5.96e-05,5.96e-05,5.96e-05
100,2070.28,0.57362,0.41142,0.8667,0.88959,0.915,0.93155,0.74272,0.76778,0.53825,0.93745,3.98e-05,3.98e-05,3.98e-05
